17550;19300;Quelle vitesse !
19300;21040;Les Akuma sont étonnants !
21430;24760;Mais à ce rythme, tu vas pas être\Nrapidement à court d'énergie, Chomesuke ?
25260;26930;Chomesuke ?
26930;29430;J'suis Chomesuke maintenant ?
30140;31540;C'est trop mignon.
31770;34900;On n'a plus de temps,\Nil faut vite arriver à Edo !
35400;36730;Plus de temps ?
36730;38280;Pourquoi es-tu si pressé ?
38610;40360;Ça, c'est mes affaires.
42610;45620;Plus tôt on sera arrivés, mieux ce sera.
46330;48370;La fatigue de Miranda s'est intensifiée.
49160;54130;Tous les dommages causés par les Akuma\Nont été réparés par le Chronodisque.
55040;57380;Elle est sûrement à bout de forces.
59510;61260;Ça va aller, Miranda ?
61880;64460;Je suis désolé,\Nj'aurais voulu mieux nous protéger...
65250;66210;Non...
67420;68960;Je-Je suis désolée...
70300;71470;Je suis désolée...
72470;75180;Je ne pense pas... pouvoir tenir jusqu'à Edo.
76140;77680;Ne t'inquiète pas pour ça.
77680;78810;Tu n'y es pas.
80600;84230;Ce n'est pas seulement pour ça. Je...
85480;87070;Bientôt, je...
91820;95780;Si je la désactive,\Ntout reviendra à la normale.
96910;97910;Miranda...
101120;103080;N'endure pas ça toute seule.
103830;105790;Tu n'es pas la seule Exorciste ici.
106710;108170;Nous sommes tous ensemble.
108670;112300;C'est notre voie à tous.
125710;126750;Il pleut...
127300;129760;Cross aime tellement la pluie.
131010;133760;Maîtresse, les préparatifs sont finis.
134720;136180;Vos instructions ?
140100;141190;Jetez l'ancre !
141770;145020;Je veux voir l'Akuma\Net les Exorcistes rassemblés sur le pont !
163710;166790;Je ne vois aucun membre d'équipage.
167760;168710;C'est vrai ça.
169630;170380;Où sont-ils ?
172970;173720;Impossible...
174510;175760;Je suis désolée.
176470;179430;Ils ne pourront pas\Nassister à votre départ.
179980;183310;En ce moment, ils font tous la fête\Ndans une des cales du navire.
184480;186440;Veuillez les excuser.
186440;190690;Je voulais qu'ils profitent\Nde leurs derniers instants à leur guise.
191490;193440;Mais alors vous êtes...
193440;195160;les seuls survivants ?
198660;199830;Tout va bien.
203460;205360;Nous étions tous devenus des partisans
205360;208360;après que les Akuma aient tué nos familles.
209210;213300;Notre seule raison de vivre\Nétait la vengeance.
213840;217800;Croyez bien que personne d'entre nous\Nne regrette ce choix.
218140;219560;Vous continuez jusqu'à Edo.
220220;224740;Vous avez choisi d'emprunter cette voie\Nque nous avons contribué à vous ouvrir.
224810;226800;Cela nous a fait un immense plaisir.
226860;229520;Remportez la victoire, Exorcistes !
231820;232940;Allez-y !
234780;237620;Pour notre salut, s'il vous plaît...
237950;241100;Emportez nos vies dans votre futur !
241950;243370;C'est l'équipage...
244580;245620;Vous tous...
245620;248500;Protégez nos camarades encore en vie !
249040;250750;Qu'est-ce qu'ils...
252380;254050;Ils doivent vivre !
254050;257970;Même si c'est juste un instant,\Nqu'ils connaissent un monde de paix !
257970;260970;Vous devez gagner, Exorcistes !
263730;264640;Grand-père...
267020;268060;C'est si dur.
275360;277440;Il reste du chemin jusqu'à Edo,
277440;281160;j'vais donc vous déposer\Nau port l'plus proche, à Izu.
286250;287620;Attention à la marche.
287620;289630;Je ferai n'importe quoi pour vous aider.
289630;290920;Merci beaucoup.
292710;294880;À vous, Mlle Anita et Mlle Mahoja.
302060;304390;Laisse repousser tes cheveux.
305100;308900;Ils sont magnifiques.\NIl ne faut rien céder à la guerre.
309770;311150;Mademoiselle Anita ?
312940;314110;Adieu.
317070;318180;Mademoiselle Anita ?
320200;321870;Ce n'est pas possible !
361910;363320;Cross...
364240;366990;Suis-je devenue quelqu'un de bien ?
368330;373210;Suis-je devenue une femme\Ndont ma mère aurait été fière ?
389310;390690;Coûte que coûte...
391730;392690;Coûte que coûte...
396280;397800;Coûte que coûte, nous vaincrons.
428440;431060;D.Gray-man Kaï 10 -\NLe Clown couronné de Dieu
516190;517110;C'est là-bas !
526120;527040;C'est...
536050;537090;On y est.
539680;541760;Bienvenue au Japon.
