870;C'est un faucon ?
1710;Ou peut-être un aigle ?
870;Un faucon.
2420;Un oiseau de proie nommé buse de Harris.
910;Pousse-toi.
1090;Ton regard
1420;est comme le mien :
1090;perçant !
2540;Ce sont des animaux très sensibles !
1040;Faites attention !
1710;Toutes mes excuses...
2580;Voilà ce qui arrive quand on veut crâner.
1710;Un spectacle de fauconnerie,
2090;les yeux perçants révèlent la supercherie.
3130;Déceleur de la vérité, un cerveau d'adulte dans un corps d'enfant...
2290;Voici Détective Conan !
2420;Faucon habile cache le crime
1120;Dites-moi,
3340;vous comptez vraiment faire un festival ?
1040;D'accord...
2160;Voici vos thés.
2170;La nature présente en cette montagne
3330;a le pouvoir d'apaiser le cœur des gens.
4220;Je voulais la faire découvrir au plus grand nombre.
1170;Je vois,
3470;c'est vrai que se retrouver entouré de nature
4010;nous permet de nous échapper de la vie quotidienne.
1800;- Je vais aux toilettes. - OK.
1420;Je t'ai dit de ne pas venir !
3790;Excusez-moi, j'ai oublié de vous demander une signature.
2870;Vous ne l'avez dit à personne ?
2710;Si, à ma femme.
1960;Les autres n'ont pas à savoir.
2710;Et puis, ils risqueraient de me tuer.
1090;Ça suffira ?
1290;Oui, c'est parfait.
1630;Ce n'était pas un client ?
2210;Non, il s'était juste perdu.
1370;Ah bon...
1250;Dis, mon chéri,
2000;tu pourrais attraper un sanglier ?
1000;Hein ? D'accord.
1540;- Un sanglier ? - Comment ?
1590;Vous l'aimez en ragoût ?
2880;En ragoût ? Et comment que j'aime ça !
4340;C'est un plat mijoté avec de la viande de sanglier.
2630;Espérons que j'arrive à en attraper un.
1420;Je compte sur vous.
1460;Qu'y a-t-il, mon garçon ?
1080;Rien du tout.
1300;J'ai une idée !
1960;C'est trop génial !
1710;Je l'ai fait moi-même.
1050;Ah bon ?
2290;C'est aussi le cas de tout ça ?
960;Oui,
4380;j'ai fabriqué de mes mains tous les animaux du café.
2090;Quand mon mari a quitté sa boîte
3050;et m'a proposé de monter cet établissement,
2370;j'ai démissionné pour le suivre.
3170;Mais comme je n'ai pas d'autre talent,
2460;j'ai fabriqué tout ça.
3210;Ces figurines représentent l'expérience
2330;et les souvenirs accumulés ici.
1500;J'y vais.
1880;Fais bien attention.
1710;Oui, ne t'inquiète pas.
1250;Bonne chasse !
3420;Je prie pour que la chance soit de votre côté !
1000;Merci.
2340;C'est du riz de ma rizière.
2460;On le verse dans la machine...
1880;On ferme le couvercle,
1300;on allume le feu,
3540;on tourne et on attend que la pression monte.
3750;À l'époque, j'allais souvent vendre mon riz soufflé.
2800;Les gamins de ton âge venaient se presser,
2160;c'était quelque chose.
1130;Mais maintenant,
4210;je suis le seul du coin qui continue à en faire.
3800;Mes collègues qui cultivaient le riz ont tous arrêté.
3250;Alors je peux dire merci à Genichi
2710;de me laisser souffler du riz dans son café.
1710;Je lui suis reconnaissant.
3000;Quand la pression est bien montée,
2830;on met la grille pour pouvoir le récupérer.
2340;C'est bon, je suis dans les temps.
590;Allez,
880;c'est parti !
710;Bah alors ?
3000;Pas la peine de faire cette tête !
2170;Le bruit était impressionnant.
3380;Mais j'ai cru entendre un coup de feu.
2750;On ajoute de l'eau sucrée,
1540;on mélange bien...
1420;Et c'est prêt !
1550;Goûte-moi donc ça !
790;C'est bon !
1630;C'est le patron que je vois ?
3460;Ramenez-nous un sanglier bien dodu !
1340;Soyez prudent !
1000;Comme ça ?
2800;Ne t'inquiète pas, détends ta posture.
2970;Le faucon peut sentir ton état d'esprit.
1250;N'aie pas peur.
750;D'accord.
2050;Présente-lui un appât.
1210;Allez, c'est parti.
2050;T'as vu, Conan ? J'ai réussi !
1920;T'es trop forte, Ran !
2340;À ton tour, viens essayer !
1460;Merci.
1000;De rien.
2000;Le faucon te fait donc peur...
1330;Je pensais tout haut.
1580;J'aime les oiseaux,
1830;surtout les oiseaux de proie.
1750;Et le faucon en particulier.
2670;C'est ce qui m'a amené à devenir fauconnier.
2050;C'est maintenant assez désert,
2250;mais il y avait foule, à l'époque.
2870;J'étais vraiment heureux de faire ce métier.
1620;Avec mon partenaire,
3090;j'aimerais faire revivre cette ville.
2710;Alors ça m'aiderait beaucoup
3080;si vous pouviez parler de cet endroit,
1460;à l'école par exemple...
620;D'accord !
1080;Bien sûr !
1500;Tu veux essayer, papa ?
1420;Ça ne m'intéresse pas.
2210;Il boude à cause de tout à l'heure.
2630;Ce sera tout pour le spectacle de fauconnerie.
1630;Place au ragoût de sanglier !
1790;Je l'attendais impatiemment !
3130;Pas encore, il reste une activité.
2130;Laquelle ?
3710;Le clou du spectacle du festival d'Hokuho,
2670;nous allons envoyer le faucon jusqu'à cette cible !
2670;Il y a un appât de viande
3790;disposé sur cette zone ouverte dans la montagne.
2760;Je vais le faire voler jusque-là.
2590;C'est très loin, il va y arriver ?
1830;Oui, vous allez voir.
1040;Mais c'est...
1010;Genichi ?
830;Qu'y a-t-il ?
870;Conan ?
830;Papa ?
1880;Monsieur ! Bon sang, monsieur !
920;Je me permets...
1550;Je suis navré...
2340;Ran, appelle la police.
1000;D'accord.
1000;Je n'y crois pas...
920;Mon chéri...
710;Genichi !
910;Cette odeur...
960;Un accident ?
3170;Tu penses donc que c'est un accident ?
2300;Oui, Genichi Takehara, la victime,
3000;était dans ce buisson armé d'un fusil
2580;quand le faucon l'a attaqué.
2250;Cherchant à se défendre,
1830;il a fait feu de son arme.
4760;Mais malheureusement, la balle l'a atteint, lui.
1000;C'est impossible !
2380;Le faucon n'attaque pas les humains !
2000;Il en a une peur bleue !
3580;C'est le cas de presque tous les animaux !
2040;Même avec un fusil pointé sur lui ?
4130;Vous m'avez mis en garde de ne pas le pointer du doigt.
2420;Eh bien, oui j'ai dit ça, mais...
2420;Quand le faucon est parti,
3210;j'ai cru voir une chose briller près de cet endroit.
1130;"""Briller"" ?"
3420;Pardon, vous avez trouvé un objet réfléchissant près d'ici ?
1300;Non, rien de la sorte.
1410;Moi non plus.
3760;Le fusil de chasse a pu émettre un flash.
1330;Mais mon bon Môri,
3080;le canon d'un fusil est plus long que celui d'un pistolet.
3710;Est-ce vraiment possible de se tirer dessus par accident ?
2670;C'est en effet un cas exceptionnel.
1750;Il a pointé son fusil ainsi
1210;et ensuite...
1630;Il s'est mis comme ça
1670;avant de se pencher ainsi.
1410;Franchement, Môri...
950;Papa.
880;Ah, Ran !
1460;Comment va Madame ?
1540;Elle a l'air d'aller...
2460;Mais en vrai, je ne sais pas.
1170;Forcément...
1080;Je suis désolé.
1750;Je sais que mes excuses
2630;ne ramèneront pas Genichi, mais...
2840;Mais sache que je suis vraiment navré.
1840;Ne te mortifie pas, Tetsu.
1170;C'était un accident.
2080;Ce n'est pas ta faute,
3340;ni celle de ton faucon.
920;Mais...
2370;Tetsu, écoute-la.
3050;C'est elle qui souffre le plus.
880;Tu as raison.
2590;Mais le festival est terminé pour cette année,
1750;plus personne ne viendra...
2170;Ah non, on doit continuer !
2250;On doit tenir pour que mon mari
1840;puisse reposer en paix.
